Name,Cuisine,Location,rating,num_of_rating,price_for_two
Havemore Restaurant ,Indian,"Khan Market, India Gate",4.1,50,1000
Bikanervala Chandni Chowk,"Street Food, Sweets","Old Delhi, Old Delhi",4.1,100,400
Akash Deep,"North Indian, South Indian","Daryaganj, Daryaganj",4.1,100,250
Bangla Sweet N Spice,Indian,"Connaught Place, Gole Market",4.1,20,300
Nathu'S Pastryshop,"Bakery, Desserts","Bengali Market, Mandi House",4.1,100,300
Odeon Sweets,"Snacks, Indian","Gole Market, Connaught Place",4.1,20,150
Nizam'S Kathi Kabab,"Mughlai, Kebabs","Connaught Place, Connaught Place",4.1,100,500
Cafe Delhi Heights,"Indian, Chinese","Cannaught Place, Connaught Place",4.1,50,800
Bangla Foods,"North Indian, Chinese","Gole Market, Gole Market",4.1,1000,250
Nando'S,"Portuguese, African","Opp Rajiv Chowk Metro Station, Connaught Place",4.1,100,450
Domino'S Pizza,Pizzas,"Connaught Circle, Connaught Place",4.1,100,400
Cafe Delhi Heights,"Indian, Chinese","Cannaught Place, Connaught Place",4.1,50,800
Bangla Foods,"North Indian, Chinese","Gole Market, Gole Market",4.1,1000,250
Nando'S,"Portuguese, African","Opp Rajiv Chowk Metro Station, Connaught Place",4.1,100,450
Domino'S Pizza,Pizzas,"Connaught Circle, Connaught Place",4.1,100,400
Pind Balluchi (Cp),"Mughlai, North Indian","Hanuman Road Area, Connaught Place",4.1,100,400
Sita Ram Diwan Chand,"Street Food, North Indian","Chuna Mandi, Paharganj, Paharganj",4.1,1000,100
Maalgaadi By Dhaba Estd 1986 Delhi,"North Indian, Indian","Connaught Place, Connaught Place",4.1,500,300
Momo Shomo,"Asian, Chinese","Gtb Nagar, Hudson Lane",4,50,300
Think Asia By Hudson Chopsticks,"Chinese, Thai","Gtb Nagar, Mukherjee Nagar",4,20,500
Hudson Chopsticks,"Chinese, Pan-Asian","Gate No. 3, Gtb Metro, Gtb Nagar",4,1000,350
Mba Chai Wala,Beverages,"Lajpat Nagar, Lajpat Nagar",4,20,200
Food Of Dreams,"North Indian, Chinese","Ashok Vihar, Ashok Vihar",4,100,300
The Village Cafe,"South Indian, Indian","Chander Nagar, Krishna Nagar",4,100,400
Burgrill - The Win Win Burger,"Burgers, Healthy Food","Gtb Nagar, Hudson Lane",4,100,250
High On Burgers,"American, Pizzas","Satyaniketan, Moti Bagh",4,100,200
Cafeteria & Co.,"Italian, American","South Campus, South Moti Bagh",4,50,900
Punjabi Angithi,"North Indian, Chinese","Ashok Vihar, Ashok Vihar",4,1000,400
Pasricha'S Dosa Junction,"South Indian, Fast Food","Ina Market, Ina Colony",4,100,250
Imly,"South Indian, North Indian","Preet Vihar, Preet Vihar",4,20,300
Vir Ji Malai Chaap Wale,"North Indian, Chinese","Greater Kailash 2, Lajpat Nagar",4,20,300
Box8 - Desi Meals,"North Indian, Biryani","Laxmi Nagar, Laxmi Nagar",4,50,250
Mba In Khichdi,"North Indian, Healthy Food","South Extension, South Extension",4,20,250
The Almighty Biryani,"Biryani, North Indian","South Extension, South Extension",4,20,300
Punikar Vadapav Centre,"Closes Soonstreet Food, Maharashtrian","Pandav Nagar, Mayur Vihar",4,100,200
49 Rolls,"Chinese, Snacks","Ganesh Nagar 2 Extn., Shakarpur, Mayur Vihar",4,50,200
No. 1 Uncles Parantha,"North Indian, Snacks","South Ex 1, South Extension I",4,100,150
Jhakkas Bombay Pav Bhaji,"Street Food, Snacks","Lajpat Nagar, Lajpat Nagar",4,1000,200
Kutty'S South Indian Cafe,South Indian,"Preet Vihar, Swasthya Vihar",4,100,300
Wah Ji Wah,"North Indian, Mughlai","V3S Mall, Swasthya Vihar",4,100,400
Tandoori Manzil,"Mughlai, North Indian","Ganesh Nagar, Mayur Vihar",4,100,300
Aggarwal Sweet India,"Sweets, Snacks","Pandav Nagar, Patparganj",4,100,300
Red Chilli Chinese,Chinese,"West Guru Angad Nagar, Laxmi Nagar",4,100,200
